competitionId,teamId,teamMarket,teamName,orbPct,drbPct,astPct,pace,ortg,drtg,ftaRate,tovPct,tovPctAgst,stlPct,blkPct
27249,104390,Utah St.,Aggies,0.30525,0.6699,0.55469,62.4,110.11886,103.60065,0.40594,0.16797,0.1444,0.06308,0.08642
33533,104391,Utah Valley,Wolverines,0.29361,0.71383,0.58121,70.825,107.79562,95.55895,0.35455,0.16676,0.14622,0.08982,0.14994
33533,104249,Southern Utah,Thunderbirds,0.29412,0.75,0.45583,72.371,112.15151,101.17062,0.37577,0.1559,0.17033,0.09828,0.08675
36046,104209,Seattle U,Redhawks,0.2984,0.74944,0.50314,67.032,107.88629,97.65092,0.34064,0.16018,0.15769,0.08482,0.07599
27693,103865,Marshall,Thundering Herd,0.23859,0.71687,0.53201,71.923,110.47565,100.2953,0.24168,0.14677,0.17487,0.10822,0.1321
27693,103908,Middle Tenn.,Blue Raiders,0.26037,0.74694,0.44814,68.64,90.32629,103.05812,0.25775,0.18976,0.17984,0.10385,0.06075
27693,103609,Fla. Atlantic,Owls,0.34045,0.76886,0.5138,69.654,111.50038,95.42098,0.28886,0.16683,0.18045,0.10887,0.07702
27693,104049,Old Dominion,Monarchs,0.28015,0.74444,0.4744,67.012,101.37768,100.40972,0.31575,0.16342,0.16967,0.11086,0.11528
27693,104380,UTEP,Miners,0.24683,0.75773,0.46875,68.033,103.45425,100.16418,0.2905,0.13958,0.17048,0.09147,0.07511
27693,104245,Southern Miss.,Golden Eagles,0.24535,0.7631,0.50083,67.319,94.89283,98.6176,0.2808,0.18329,0.17521,0.08777,0.0671
27693,103447,Charlotte,49ers,0.22323,0.75561,0.51743,63.355,97.75365,102.74297,0.38382,0.18519,0.16889,0.08352,0.08578
27693,104382,UTSA,Roadrunners,0.3013,0.73375,0.4987,71.861,109.72081,102.01359,0.23355,0.13756,0.16887,0.08641,0.08755
27693,103594,FIU,Panthers,0.26272,0.67614,0.56522,71.491,101.50691,105.27232,0.24439,0.17621,0.19697,0.11604,0.1001
