key,tables,isKeeper,label1,label2,label3,label4,shortDesc,sign,unit,tipTitle,mainTip,teamTip,playerTip,isLabeled
srp2FgaFreq,"pgps,taps,paps,tgps",TRUE,FGA%,SRP2 FGA%,Short Right Paint 2s FGA%,Short Right Paint 2s FGA%,NA,pos,pct,Short Right Paint 2s Field Goal Attempt Frequency,Percentage of shots taken as short right paint 2-pointers.,NA,NA,TRUE
srp2FgaP100,taps,TRUE,FGA/100,SRP2 FGA/100,Short Right Paint 2s FGA / 100 Poss,Short Right Paint 2s FGA / 100 Poss,NA,pos,num,Short Right Paint 2s Field Goal Attempts / 100 Possessions,Field goal attempts on short right paint 2-pointers per 100 possessions played.,NA,NA,TRUE
srp2FgaP40,"taps,paps",TRUE,FGA/40,SRP2 FGA/40,Short Right Paint 2s FGA / 40 Mins,Short Right Paint 2s FGA / 40 Mins,NA,pos,num,Short Right Paint 2s Field Goal Attempts / 40 Minutes,Field goal attempts on short right paint 2-pointers per 40 minutes played.,NA,NA,TRUE
srp2FgaPg,"taps,paps",TRUE,FGA/G,SRP2 FGA/G,Short Right Paint 2s FGA / Game,Short Right Paint 2s FGA / Game,NA,pos,num,Short Right Paint 2s Field Goal Attempts / Game,Field goal attempts on short right paint 2-pointers per game.,NA,NA,TRUE
srp2Fgm,"pgps,taps,paps,tgps",TRUE,FGM,SRP2 FGM,Short Right Paint 2s FGM,Short Right Paint 2s FGM,NA,pos,int,Short Right Paint 2s Field Goals Made,Field goals made on short right paint 2-pointers.,NA,NA,TRUE
startScore,pssc,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
startSecs,pssc,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stint,gfl,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
stl,"pps,pgps,tpcs,tgs,gfl,pas,tssc,tas,tgcs,tps,pgs,taps,paps,tass,lu,tgps,oo",TRUE,STL,STL,Steals,Steals,NA,pos,int,Steals,The total number of steals.,NA,NA,TRUE
stl2,"pgps,taps,paps,tgps",TRUE,STL2,STL2,Steals Inside The Arc,Steals Inside The Arc,NA,pos,int,Steals Inside The Arc,NA,The total number of steals by the team inside the opposing team's 3P line (i.e. in 2P shooting range).,The total number of steals by the player inside the opposing team's 3P line (i.e. in 2P shooting range).,TRUE
stl2P100,taps,TRUE,STL2/100,STL2/100,Steals Inside The Arc / 100 Poss,Steals Inside The Arc / 100 Poss,NA,pos,num,Steals Inside The Arc / 100 Poss,NA,"The number of steals by the team inside the opposing team's 3P line (i.e. in 2P shooting range), per 100 possessions played.","The number of steals by the player inside the opposing team's 3P line (i.e. in 2P shooting range), per 100 possessions played.",TRUE
